Date,Symbol,Prev Close,Open,High,Low,Close,VWAP,Volume,Turnover,Company,Daily_Return,Volatility,Momentum_5,MA20,MA50,MA252,MA20_Ratio,MA50_Ratio,MA252_Ratio,Future_Close_63,Future_Close_126,Future_Close_252,Future_Return_63,Future_Return_126,Future_Return_252,Future_Close_630,Future_Close_1260,Future_Return_630,Future_Return_1260
2016-03-28,ADANIPORTS,238.3,240.4,242.95,232.7,235.65,237.99,2756755,65606787785000.0,ADANIPORTS,-1.975873544093178,4.349671122427329,-0.02121340687313289,225.48499999999999,217.06,290.5940476190476,1.0450806040313103,1.085644522251912,0.8109250754816694,202.9,256.8,342.1,-13.897729683853171,8.975175047740295,45.17292594950138,313.5,730.05,33.03628262253341,209.80267345639717
2016-03-28,ASIANPAINT,850.0,850.0,857.45,842.7,845.4,848.15,1722071,146058061440000.0,ASIANPAINT,-0.541176470588238,1.7447362195410456,-3.11156953756232,870.5174999999999,868.42,831.4259920634921,0.9711464732185167,0.9734920890813201,1.0168072781821822,980.2,1167.35,1089.85,15.945114738585294,38.082564466524715,28.91530636385142,1219.05,2536.4,44.198012775017745,200.02365744026497
2016-03-28,AXISBANK,437.5,437.85,438.6,419.8,422.9,429.59,9200929,395265959795000.0,AXISBANK,-3.414411328080403,4.4454953889808495,-1.2262057690061945,414.82250000000005,404.29699999999997,497.88928571428573,1.0194721838858787,1.046013203165,0.8493856207274996,514.0,539.3,500.6,21.541735634901872,27.524237408370773,18.373137857649574,580.85,714.9,37.34925514305984,69.04705604161741
2016-03-28,BAJAJ-AUTO,2356.4,2375.5,2375.5,2332.75,2357.35,2350.46,210492,49475259875000.0,BAJAJ-AUTO,-0.764049673752898,1.8134769974759797,3.8525926252257703,2294.3375,2322.317,2344.5444444444447,1.0274643551787825,1.0150853651762441,1.0054618523380519,2624.4,2846.4,2783.6,11.328398413472764,20.745752645979604,18.081744331558742,2525.8,3833.75,7.145735677773783,62.62964769762658
2016-03-28,BAJAJFINSV,1724.8,1728.5,1745.0,1652.85,1684.85,1713.83,47776,8187983440000.001,BAJAJFINSV,-2.52531096326295,5.469329613912223,2.003935220220976,1661.3024999999998,1748.6670000000001,1725.5944444444444,1.0141741194032996,0.963505344356587,0.9763881689723669,2196.1,3105.7,4098.25,30.343947532421282,84.33094934267146,143.2412380924118,5592.0,11041.65,231.8989821052319,555.3491408730747
2016-03-28,BAJFINANCE,6874.2,6899.0,6900.0,6690.0,6700.2,6772.26,65968,44675239815000.0,BAJFINANCE,-2.881577040150749,3.1342347989612254,1.8027668254438467,6383.035,6180.576,5278.433531746032,1.0496887452442294,1.0840737174010966,1.2693538641157556,7696.65,1037.15,1181.75,14.87194412107101,-84.52061132503506,-82.36246679203606,2162.1,5451.9,-67.73081400555208,-18.63078714068237
2016-03-28,BHARTIARTL,358.2,358.9,361.0,346.85,349.8,352.33,4173356,147038791910000.0,BHARTIARTL,-2.535525215937578,4.045168667810171,2.6559060895084308,336.255,320.13,364.7003968253968,1.0402819288932508,1.0926810983038142,0.9591434586989757,357.1,315.7,341.8,2.0869068038879393,-9.74842767295598,-2.287021154945683,285.35,536.75,-18.424814179531158,53.444825614636926
2016-03-28,BPCL,868.5,871.5,887.2,863.55,873.6,877.03,1760818,154428984665000.0,BPCL,0.24096385542168938,2.7071886446886553,1.0117361392149027,817.0125,829.3989999999999,855.8845238095238,1.0692614862073713,1.053292805995667,1.020698442018352,1051.7,610.15,638.4,20.386904761904763,-30.156822344322347,-26.923076923076927,278.15,421.8,-68.16048534798536,-51.71703296703297
2016-03-28,BRITANNIA,2725.3,2745.55,2760.0,2601.25,2625.6,2640.68,282168,74511489580000.0,BRITANNIA,-4.368887836681185,6.046237050578916,-2.6690391459074703,2769.335,2750.9889999999996,2788.203571428571,0.9480976479913047,0.9544203920844468,0.9416815999036758,2748.15,3285.55,3391.7,4.66750457038392,25.13520719073737,29.178092626447288,5570.2,3449.0,112.14960390006095,31.360450944546013
2016-03-28,CIPLA,532.8,536.3,537.35,522.1,524.2,528.75,1947564,102977714565000.0,CIPLA,-2.256199888122303,2.909194963754292,-0.0667238585454033,528.4350000000001,549.098,637.8103174603175,0.9919857692999139,0.954656545826064,0.8218744439370316,497.35,602.85,592.65,-5.122090805036249,15.003815337657379,13.057993132392204,616.2,910.35,17.550553223960318,73.66463181991605
2016-03-28,COALINDIA,298.0,298.5,298.5,292.2,293.5,294.16,4199915,123544747325000.0,COALINDIA,-1.675041876046901,2.1465076660988114,-0.2548853016142716,306.98,309.959,353.13134920634917,0.9560883445175581,0.9468994286341097,0.8311354986172464,313.3,327.65,295.0,6.7461669505962565,11.63543441226575,0.5110732538330494,266.6,133.05,-9.165247018739345,-54.667802385008514
2016-03-28,DRREDDY,3047.9,3038.0,3074.55,3014.1,3035.65,3044.31,380473,115827852334999.98,DRREDDY,-0.07735352205397988,1.9913362871213833,-2.8747400415933377,3124.095,3028.586,3541.850396825397,0.9716894012506022,1.0023324416080641,0.8570802433442388,3273.05,3135.4,2744.45,7.820400902607353,3.2859519378057414,-9.59267372720835,2459.0,5163.1,-18.995931678553195,70.08218997578773
2016-03-28,EICHERMOT,18554.05,18597.0,18654.5,18330.0,18410.3,18491.51,28647,52972625580000.0,EICHERMOT,-1.0039253643060748,1.762600283536933,2.074161963162968,19070.322500000002,18048.477,17866.54642857143,0.965390071405452,1.0200472870924233,1.0304341733643063,19166.35,24918.35,25543.65,4.1066685496705615,35.35004861409102,38.746516895433544,22357.45,2421.65,21.439900490486313,-86.84622195184217
2016-03-28,GAIL,356.1,356.0,362.0,356.0,357.75,358.94,1630001,58506475910000.0,GAIL,0.49157303370786515,1.6771488469601679,1.2595527879988744,340.0125,341.894,348.52896825396823,1.052167199735304,1.0463769472409576,1.0264570023898631,376.9,363.45,384.75,5.352900069881195,1.593291404612156,7.547169811320755,350.25,137.2,-2.0964360587002098,-61.649196366177506
2016-03-28,GRASIM,3781.0,3778.95,3807.0,3733.4,3786.5,3785.96,101799,38540734755000.0,GRASIM,0.19979094722079369,1.9437475240987694,4.164947319193413,3561.2825,3489.6210000000005,3580.1809523809525,1.0632405601072086,1.0850748548338056,1.0576281060547619,4459.0,4707.6,1050.6,17.760464809190545,24.325894625643745,-72.254060478014,878.35,1401.75,-76.8031163343457,-62.98032483824112
2016-03-28,HCLTECH,817.7,819.9,826.5,806.45,810.65,817.2,2957244,241665072680000.03,HCLTECH,-1.128186364190755,2.4733238759020484,-0.5703422053231932,823.6800000000001,832.8480000000001,896.5496031746031,0.9841807498057497,0.9733468772212935,0.9041886774915295,713.2,791.05,866.25,-12.021217541479052,-2.4178128662184695,6.858693640905448,1009.0,898.95,24.468019490532292,10.892493677912794
2016-03-28,HDFC,1162.75,1154.5,1170.25,1137.3,1143.35,1146.39,3943656,452097749980000.0,HDFC,-0.9657860545690854,2.8818821883062973,3.1857768151256627,1121.3174999999999,1124.898,1220.109126984127,1.0196487613900613,1.0164032650071384,0.9370883101466008,1228.9,1401.4,1533.65,7.482398215769466,22.569641841955672,34.13652862203177,1684.55,2420.1,47.33458695937377,111.66746840425068
2016-03-28,HDFCBANK,1049.35,1045.0,1053.0,1041.65,1047.5,1048.62,2817717,295470765795000.0,HDFCBANK,0.23923444976076555,1.083532219570397,2.857423409269444,1015.9974999999998,1017.122,1045.4117063492063,1.031006473933253,1.0298666236695304,1.0019975801285854,1166.95,1277.5,1433.2,11.40334128878282,21.957040572792362,36.82100238663485,1937.55,1412.3,84.9689737470167,34.82577565632457
2016-03-28,HEROMOTOCO,2871.4,2855.0,2890.0,2832.0,2848.0,2852.94,453040,129249773580000.0,HEROMOTOCO,-0.24518388791593695,2.0365168539325844,0.9535287653752222,2776.225,2630.533,2567.0660714285714,1.0258534520797127,1.0826703181446498,1.1094377475119248,3020.4,3428.25,3202.15,6.053370786516857,20.37394662921348,12.435042134831464,2871.0,2819.15,0.8075842696629214,-1.0129915730337047
2016-03-28,HINDALCO,91.3,92.5,92.5,82.55,83.25,86.34,20101957,173553999855000.0,HINDALCO,-10.0,11.951951951951955,2.777777777777768,80.24,73.602,95.69126984126984,1.0375124626121637,1.1310833944729761,0.8699853198530326,118.05,150.0,193.6,41.801801801801794,80.18018018018019,132.55255255255253,216.5,364.4,160.06006006006007,337.7177177177177
2016-03-28,HINDUNILVR,873.6,876.0,876.1,860.2,863.65,866.26,2033190,176127132630000.0,HINDUNILVR,-1.409817351598176,1.841023562785848,1.6477373035955978,848.8174999999999,827.422,848.0188492063492,1.0174743098487014,1.0437841875125389,1.018432551125815,887.75,878.3,920.65,2.790482255543336,1.696289005963061,6.5998957911190885,1526.1,2353.75,76.7035257338042,172.53517049730794
2016-03-28,ICICIBANK,234.2,234.0,234.0,223.9,225.45,227.6,18376559,418246205585000.0,ICICIBANK,-3.653846153846159,4.479929030827233,-1.0098792535675138,216.965,214.745,275.1650793650794,1.0391076901804437,1.0498498218817667,0.8193263495506303,233.15,250.35,286.7,3.415391439343543,11.044577511643382,27.167886449323575,311.7,600.5,38.256819693945445,166.35617653581727
2016-03-28,INDUSINDBK,928.05,927.0,939.0,911.65,914.8,917.17,4743485,435058317960000.06,INDUSINDBK,-1.3160733549083112,2.989724529951905,0.2465618322283758,900.9174999999999,886.925,897.0194444444444,1.0154092910838117,1.0314288130337965,1.019821817314749,1084.7,1197.85,1403.45,18.5723655443813,30.941189331001308,53.41604722343683,1592.55,934.95,74.08723218189769,2.2026672496720696
2016-03-28,INFY,1207.8,1232.4,1237.0,1195.75,1204.9,1212.25,5393755,653859176030000.0,INFY,-2.2314183706588766,3.4235206241181837,3.7142242306864803,1157.2549999999999,1140.496,1314.9503968253969,1.041170701357955,1.0564701673657777,0.9163083283665417,1159.15,1029.2,1008.8,-3.796995601294713,-14.582122997759154,-16.275209560959425,673.35,1354.35,-44.115694248485354,12.40351896422938
2016-03-28,IOC,393.1,392.05,396.55,390.8,392.0,393.29,808157,31783608675000.0,IOC,-0.012753475322028151,1.4668367346938775,-1.6434575335591561,387.175,391.662,394.359126984127,1.0124620649577065,1.0008629890058265,0.9940178207559985,434.95,573.5,381.15,10.956632653061222,46.30102040816326,-2.7678571428571486,131.0,90.85,-66.58163265306123,-76.82397959183673
2016-03-28,ITC,324.25,327.0,329.8,320.3,322.45,323.5,10959972,354551649520000.0,ITC,-1.391437308868505,2.946193208249341,-0.3707708944847843,317.09499999999997,312.915,323.2916666666667,1.0168876835017897,1.0304715338031094,0.9973965717231601,368.5,245.7,281.55,14.281283919987601,-23.802139866645994,-12.684137075515578,265.2,202.6,-17.754690649713133,-37.168553264071946
2016-03-28,JSWSTEEL,1248.7,1240.0,1249.0,1217.7,1226.9,1230.78,416166,51220999695000.0,JSWSTEEL,-1.0564516129032187,2.5511451626049353,2.0375914836992637,1181.095,1096.796,953.0896825396826,1.0387818084066058,1.1186218768120963,1.287287043891504,1426.5,1678.35,188.9,16.268644551308167,36.79598989322682,-84.60347216562066,361.7,717.85,-70.51919471839597,-41.490749042301736
2016-03-28,KOTAKBANK,659.95,664.45,677.9,660.55,669.6,669.87,2904848,194588006870000.0,KOTAKBANK,0.775077131462108,2.591099163679812,2.8176583493282115,648.795,655.129,874.5930555555555,1.032067139851571,1.0220887794617548,0.765613213764497,743.3,772.6,875.95,11.006571087216239,15.38231780167264,30.81690561529272,1115.55,1748.8,66.59946236559139,161.17084826762243
2016-03-28,LT,1242.55,1241.0,1246.2,1198.05,1206.35,1224.4,2478304,303442520290000.0,LT,-2.792103142626921,3.99137895304017,1.0978420280745693,1178.1200000000001,1142.7120000000002,1497.498015873016,1.0239619054086169,1.0556903226709788,0.8055770272902287,1474.05,1437.6,1661.0,22.190906453351023,19.16939528329258,37.68806731048204,1225.85,1340.45,1.6164463049695363,11.116176897252053
2016-03-28,MARUTI,3736.0,3759.0,3777.8,3629.95,3638.95,3693.61,743468,274608087020000.0,MARUTI,-3.1936685288640647,4.0629852017752475,0.09627418888995543,3580.4525000000003,3750.5820000000003,4089.514087301587,1.0163380187280797,0.9702360860261153,0.8898245420646329,4078.7,5438.6,6072.0,12.084529878124185,49.45519998900784,66.86131988623093,6875.5,6455.65,88.94186509844873,77.40419626540623
2016-03-28,M&M,1249.35,1262.0,1266.0,1237.3,1243.85,1249.9,1167776,145959949065000.0,MM,-1.438193343898581,2.307352172689637,3.7882264591764248,1225.6225,1206.854,1245.0910714285715,1.0148720344151645,1.0306549093759476,0.9990032283926448,1408.6,1364.4,1286.5,13.245166217791535,9.691683080757342,3.428870040599758,730.15,752.55,-41.29919202476183,-39.4983317924187
2016-03-28,NESTLEIND,5253.15,5299.0,5375.0,5282.55,5353.5,5323.72,69661,37085536945000.0,NESTLEIND,1.028495942630685,1.726907630522085,5.035463080137714,5165.8675,5280.688,6084.4125,1.0363215858711048,1.0137883548507316,0.8798713105003975,6493.8,6353.2,6578.55,21.300084057158873,18.673764826748855,22.883160549173443,9384.4,16309.25,75.29466704025404,204.64649294853837
2016-03-28,NTPC,127.35,128.0,130.25,127.25,129.15,128.52,5268964,67714434040000.0,NTPC,0.8984375000000044,2.3228803716608595,1.8131651556957173,125.87,129.25,134.05694444444444,1.0260586319218241,0.9992263056092844,0.9633965665502845,148.0,149.45,164.65,14.595431668602396,15.7181571815718,27.487417731320168,163.15,102.45,26.32597754548974,-20.67363530778165
2016-03-28,ONGC,214.6,216.5,218.7,212.4,213.95,214.29,4803983,102944469770000.0,ONGC,-1.1778290993071645,2.944613227389569,0.8009422850412173,206.9475,211.08599999999998,259.709126984127,1.0338370842846616,1.0135679296590017,0.823806242331546,211.35,250.15,185.8,-1.215237204954426,16.919841084365515,-13.157279738256591,152.95,108.15,-28.51133442393083,-49.450806263145594
2016-03-28,POWERGRID,137.45,137.9,140.0,136.5,139.1,138.75,4889080,67838221175000.0,POWERGRID,0.8701957940536538,2.516175413371675,0.7971014492753614,136.90500000000003,138.916,138.09007936507936,1.0160330155947552,1.001324541449509,1.0073134915959505,155.45,173.4,196.2,11.754133716750536,24.658519051042425,41.049604601006465,185.7,220.05,33.50107836089144,58.195542774982044
2016-03-28,RELIANCE,1029.2,1030.0,1031.7,1015.65,1020.4,1022.77,4130553,422462494865000.0,RELIANCE,-0.9320388349514585,1.572912583300673,0.4330708661417271,1009.9024999999999,995.337,942.6672619047619,1.0103945677924355,1.025180416281119,1.0824604197436227,957.8,1072.45,1374.65,-6.134849078792633,5.100940807526467,34.716777734221886,1087.8,1994.5,6.605252842022733,95.4625637005096
2016-03-28,SBIN,196.6,195.8,198.25,187.65,188.3,192.01,19760603,379432227650000.0,SBIN,-3.8304392236976508,5.629314922995217,1.0464180305876036,180.85999999999999,175.25400000000002,239.3029761904762,1.0411367908879798,1.0744405263217958,0.7868686089809442,215.9,247.25,293.15,14.657461497610191,31.306425916091335,55.682421667551765,262.15,353.5,39.21933085501857,87.73234200743494
2016-03-28,SHREECEM,12497.95,12600.0,12794.85,12111.0,12235.4,12407.94,7311,9071444935000.0,SHREECEM,-2.8936507936507967,5.5891102865456,5.033006841730248,11371.525,10708.118999999999,11081.02380952381,1.075968262831942,1.142628317821272,1.1041759507351694,14212.75,16988.9,17169.65,16.160893799957503,38.85038494859181,40.32765581836313,14823.75,27910.5,21.154600585187247,128.11268940941858
2016-03-28,SUNPHARMA,846.2,846.0,846.0,803.0,809.25,817.43,4596334,375715940840000.0,SUNPHARMA,-4.343971631205674,5.313561940067965,-2.1758839528558505,851.135,840.0559999999999,871.4718253968254,0.9507892402497842,0.9633286352338416,0.9286014491994705,765.1,735.85,692.4,-5.455668829162802,-9.070126660488103,-14.439295644114924,586.7,654.45,-27.50077232004942,-19.128822984244664
2016-03-28,TATAMOTORS,377.0,375.5,375.5,361.5,363.3,368.2,8062793,296874454955000.0,TATAMOTORS,-3.24900133155792,3.8535645472061653,0.6650041562759945,345.71999999999997,333.51599999999996,399.52698412698413,1.050850399166956,1.089303061922067,0.9093253132672764,440.4,526.3,470.4,21.222130470685375,44.86650151390034,29.47976878612716,182.95,293.85,-49.64216900633086,-19.116432700247728
2016-03-28,TATASTEEL,317.2,318.4,318.4,297.4,299.15,305.59,9069782,277160306515000.0,TATASTEEL,-6.045854271356784,7.01988968744777,1.0983440351470142,287.41499999999996,259.69,272.3583333333333,1.0408294626237322,1.1519504024028648,1.098369182755561,311.5,368.8,485.85,4.12836369714191,23.282634130035113,62.41016212602375,555.15,1034.0,85.57579809460137,245.6459969914759
2016-03-28,TCS,2473.8,2491.0,2517.15,2461.55,2473.4,2478.01,1660441,411458254710000.0,TCS,-0.7065435568044925,2.247917845880161,5.159329095895071,2350.3925000000004,2323.891,2483.1938492063496,1.0523348759834792,1.0643356336420253,0.9960559465748194,2463.95,2437.8,2411.7,-0.3820651734454707,-1.4393143041966487,-2.4945419260936474,1979.95,3035.65,-19.950270882186466,22.731867065577745
2016-03-28,TECHM,479.9,482.0,485.25,464.0,474.7,471.04,3609846,170039067870000.0,TECHM,-1.5145228215767659,4.4765114809353275,-2.475603492552647,459.6,467.07099999999997,537.3349206349206,1.0328546562228023,1.0163337051540344,0.8834341148702739,501.0,427.15,453.1,5.540341268169373,-10.0168527491047,-4.550242258268373,695.45,960.4,46.50305456077524,102.31725300189593
2016-03-28,TITAN,352.7,356.7,357.0,325.0,327.4,335.18,1417021,47496221765000.0,TITAN,-8.214185590131768,9.773976786805132,-3.564064801178213,338.59250000000003,344.5160000000001,354.2021825396826,0.9669440404025487,0.9503187079845345,0.9243308374118223,389.9,393.15,459.35,19.089798411728772,20.08246792913867,40.3023824068418,778.9,1491.65,137.90470372632865,355.6047648136836
2016-03-28,ULTRACEMCO,3198.45,3205.0,3231.2,3155.05,3176.95,3205.44,494567,158530420585000.0,ULTRACEMCO,-0.8751950078003177,2.396953052455961,4.884450313634847,2994.15,2852.4570000000003,2885.3222222222225,1.0610523854850291,1.113759120645815,1.1010728630347466,3400.8,3861.3,4026.75,7.04606619556494,21.541100741277024,26.748925856560547,3688.75,6278.95,16.109790837123665,97.64081902453611
2016-03-28,UPL,456.35,461.0,465.2,447.65,451.65,456.76,975892,44575191960000.0,UPL,-2.0281995661605254,3.8857522417801422,3.281500114337965,428.34499999999997,411.20099999999996,471.05575396825395,1.0544070784064248,1.0983679514398068,0.9588037004011168,546.15,650.3,735.45,20.92328130189306,43.983172810804824,62.836267020923295,605.15,606.9,33.98649396656703,34.37396213882431
2016-03-28,VEDL,96.85,97.35,97.35,87.35,87.95,90.64,32066089,290639957525000.0,VEDL,-9.655880842321512,11.370096645821489,1.971014492753631,85.36,75.974,124.19940476190476,1.0303420805998127,1.1576328744044015,0.7081354388823656,123.15,168.6,272.7,40.02274019329165,91.69982944855029,210.06253553155202,207.9,257.25,136.38430926662878,192.49573621375782
2016-03-28,WIPRO,555.75,558.55,563.6,549.3,556.15,553.95,1457996,80765942675000.0,WIPRO,-0.42968400322262595,2.571248763822722,3.1435459940652777,540.8925,542.7510000000001,563.3003968253969,1.0282080080607514,1.0246871954174195,0.9873062457159723,542.4,472.2,507.1,-2.4723545805987595,-15.09484851209206,-8.819563067517748,313.05,492.75,-43.711228984986064,-11.39980221163355
2016-03-28,ZEEL,388.5,392.0,393.0,385.1,387.65,388.06,2045328,79370774695000.0,ZEEL,-1.1096938775510263,2.0379208048497297,0.1679586563307467,389.84,391.75300000000004,378.69265873015877,0.9943823106915658,0.9895265639318651,1.023653326948236,436.9,549.7,528.55,12.70475944795563,41.80317296530377,36.347220430800974,463.9,185.6,19.669805236682574,-52.121759318973304
